DATE,ALLLCBW027SBOG
2003-03-26,53.5959
2003-04-02,53.6283
2003-04-09,53.4041
2003-04-16,53.5345
2003-04-23,53.688
2003-04-30,53.4574
2003-05-07,53.5593
2003-05-14,53.6825
2003-05-21,53.689
2003-05-28,53.6771
2003-06-04,53.4261
2003-06-11,53.5012
2003-06-18,53.5654
2003-06-25,53.6601
2003-07-02,53.2333
2003-07-09,52.7461
2003-07-16,53.0312
2003-07-23,53.1023
2003-07-30,52.8519
2003-08-06,52.8984
2003-08-13,53.7107
2003-08-20,53.7429
2003-08-27,53.7461
2003-09-03,53.5303
2003-09-10,53.4982
2003-09-17,53.4889
2003-09-24,53.6352
2003-10-01,52.8025
2003-10-08,52.2579
2003-10-15,52.4256
2003-10-22,52.4357
2003-10-29,52.3559
2003-11-05,52.0902
2003-11-12,52.0486
2003-11-19,52.0429
2003-11-26,52.1653
2003-12-03,52.9422
2003-12-10,52.9931
2003-12-17,53.102
2003-12-24,53.1985
2003-12-31,52.9102
2004-01-07,51.8822
2004-01-14,51.5256
2004-01-21,51.1768
2004-01-28,51.0396
2004-02-04,50.6174
2004-02-11,50.6471
2004-02-18,50.6465
2004-02-25,50.6135
2004-03-03,50.5323
2004-03-10,50.4003
2004-03-17,50.4909
2004-03-24,50.5929
2004-03-31,50.4638
2004-04-07,49.2151
2004-04-14,49.4336
2004-04-21,49.386
2004-04-28,49.2648
2004-05-05,49.1347
2004-05-12,48.9471
2004-05-19,48.8121
2004-05-26,48.8933
2004-06-02,48.8654
2004-06-09,48.804
2004-06-16,48.8402
2004-06-23,49.0281
2004-06-30,48.6257
2004-07-07,48.2684
2004-07-14,48.3303
2004-07-21,48.0749
2004-07-28,48.1853
2004-08-04,48.1514
2004-08-11,48.0997
2004-08-18,48.08
2004-08-25,48.1477
2004-09-01,48.1735
2004-09-08,47.5818
2004-09-15,47.684
2004-09-22,47.6795
2004-09-29,47.6898
2004-10-06,47.2552
2004-10-13,47.2988
2004-10-20,47.1013
2004-10-27,47.1103
2004-11-03,47.0858
2004-11-10,46.8935
2004-11-17,46.7154
2004-11-24,46.8483
2004-12-01,47.061
